Filename,TDOA_1_2,Zero_Crossing_Rate,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Rolloff,Entropy_Energy,Short_Time_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5
9 (47).wav,-1.00E-05,0,8006.498819,5284.876742,2.794920037,14254.98047,0.999994219,0.001859454,-412.3710186,26.40485805,-21.08561237,16.28746679,-12.94127438
9 (48).wav,8.78E-06,0,8006.390743,5284.76355,2.807445265,14254.98047,0.999999962,0.442175489,-143.5340036,26.40553055,-21.08626818,16.28810466,-12.94189523
9 (49).wav,8.93E-07,0,8006.388225,5284.760743,2.807852619,14254.98047,0.999999998,0.457154755,-141.8970736,26.4055349,-21.08627241,16.28810878,-12.94189924
9 (5).wav,8.06E-06,0,8006.388739,5284.761322,2.807765503,14254.98047,0.999999994,0.109991577,-211.8954192,26.40553441,-21.08627194,16.28810831,-12.94189879
9 (50).wav,-1.55E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.000644684,-464.418824,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (51).wav,-1.64E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,7.56E-05,-569.6993228,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (52).wav,-1.07E-05,0,8006.510636,5284.888933,2.793685954,14254.98047,0.999993485,0.001649898,-418.2459637,26.40477215,-21.08552861,16.28738532,-12.94119508
9 (53).wav,1.37E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.002742425,-393.2795923,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (54).wav,-4.58E-07,0,8006.4178,5284.792454,2.803912307,14254.98047,0.99999884,0.005215709,-361.6940597,26.40540002,-21.08614088,16.28798084,-12.94177472
9 (55).wav,1.83E-05,0,8006.388923,5284.761528,2.807734969,14254.98047,0.999999992,0.090056772,-221.7205889,26.40553417,-21.08627171,16.28810809,-12.94189857
9 (56).wav,1.67E-05,0,8006.773736,5285.157494,2.7686324,14254.98047,0.999975427,0.000984215,-443.6290127,26.40266629,-21.08347511,16.28538804,-12.93925113
9 (57).wav,9.14E-06,0,8006.395643,5284.768892,2.806732957,14254.98047,0.999999822,0.015103007,-309.4530648,26.40551408,-21.08625211,16.28808903,-12.94188002
9 (58).wav,1.90E-05,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.023563299,-287.5980824,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (59).wav,-9.44E-06,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.002930943,-390.0130232,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (6).wav,3.70E-07,0,8006.388283,5284.760809,2.807842564,14254.98047,0.999999998,0.371133356,-152.1397419,26.40553485,-21.08627237,16.28810874,-12.9418992
9 (60).wav,-1.30E-05,0,8006.405419,5284.779359,2.805440136,14254.98047,0.999999433,0.058101783,-243.2535838,26.40546847,-21.08620764,16.28804577,-12.94183791
9 (61).wav,-7.06E-07,0,8006.387716,5284.760165,2.80794184,14254.98047,1,0.016561792,-304.9226249,26.40553508,-21.0862726,16.28810896,-12.94189941
9 (62).wav,8.17E-07,0,8006.41059,5284.784842,2.804791646,14254.98047,0.999999198,0.000837867,-451.5405864,26.4054409,-21.08618075,16.28801962,-12.94181246
9 (63).wav,-1.82E-06,0,8085.197569,5355.479901,1.702885718,14405.71289,0.988787408,2.39E-07,-851.9988425,25.42021123,-20.13334014,15.36977338,-12.05615349
