Filename,TDOA_1_2,Zero_Crossing_Rate,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Rolloff,Entropy_Energy,Short_Time_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5
6 (1).wav,8.294290295887669e-06,0.00048828125,13009.071407790525,6837.944913475749,0.2608967702800647,21000.0,0.25337120447543365,1.755543053150177e-07,-901.1344293484347,-10.901678442238678,6.11147350289434,-3.0125117823954235,1.3130104403465226
6 (10).wav,8.526592489775164e-06,0.0,11330.772164337053,6892.535367352997,0.1710297506685762,19851.5625,0.13455629634753566,0.0006913850083947182,-471.4818291555814,5.674735595103858,-3.9053767161858257,2.3082910033755812,-1.4361658174114584
6 (11).wav,1.9170119902516055e-05,0.0,10534.722698405432,6727.967669634024,0.39674541907415467,18890.625,0.4314528789315419,0.0033926861360669136,-387.8437450270701,11.7116725628442,-8.397458850791544,5.457439228532526,-3.62465329078449
6 (12).wav,5.538016265400085e-06,0.0,10230.41472560919,6629.80338283674,0.4973823107588665,18398.4375,0.5520034467377528,0.0019809789955615997,-412.93467177088434,13.895082924543779,-10.135087794008388,6.7834226452714965,-4.631738813110286
6 (13).wav,1.3360349172126011e-05,0.0,10020.207913994689,6549.559612887863,0.5750226899842739,18046.875,0.6328288268892752,0.05442444235086441,-249.44322773748075,15.387707282856168,-11.357936030280538,7.750822017010141,-5.394647217396326
6 (14).wav,-8.768777224881649e-06,0.0,9583.036872217926,6346.893378671907,0.7722084976943565,17226.5625,0.7877947572590747,0.004362860694527626,-372.60640526434787,18.51260471072574,-14.011221628566158,9.944173916720718,-7.205413553552111
6 (15).wav,-1.2099634742610917e-06,0.00048828125,12243.84349196366,6929.3541726287995,0.0614110045772109,20578.125,0.02525444898101292,0.018212238792330027,-320.99333341611685,-2.387563178116894,1.3880526193188678,-0.8313868792153414,0.38166900385431324
6 (16).wav,-1.2674059275202728e-05,0.00048828125,13671.64443237122,6663.661724598403,0.45827886778364046,21257.8125,0.5134861547511866,0.00020215706899762154,-569.9096807102443,-20.723869287018605,10.461848199853696,-4.348227629250948,1.594061696106438
6 (17).wav,1.4192196287300105e-05,0.0,11623.53330948426,6921.579259334578,0.09524555374456867,20109.375,0.05265689762491169,3.778375685214996e-05,-617.0929498275085,3.261518593572888,-2.2367606358128316,1.2477334242831564,-0.7746082486027569
6 (18).wav,-7.865422690804636e-06,0.0,8772.743721487308,5805.465590038537,1.8406566213180455,15632.8125,0.9929410385790918,0.7423374922946095,-121.447357047554,25.278193469489914,-20.206863573557804,15.55328435260359,-12.291601091743217
