Filename,TDOA_1_2,Zero_Crossing_Rate,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Rolloff,Entropy_Energy,Short_Time_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5
3 (1).wav,1.6350749819637913e-05,0.0,8006.387715771167,5284.760165097744,2.8079418401304657,14254.98046875,0.9999999997114609,3.3527612686157227e-08,-948.225768212704,25.181069762490814,-19.862577614017393,15.065697000751632,-11.721281865026139
3 (10).wav,1.470365455285441e-05,0.0,8006.3890379476725,5284.761656976741,2.8077159523761677,14254.98046875,0.9999999908953026,0.3048072401434183,-161.81349503446393,26.405534010004438,-21.086271548086927,16.288107935646337,-12.94189841895388
3 (11).wav,-1.7460170614896328e-05,0.0,8006.500342820384,5284.878314436153,2.794760137513618,14254.98046875,0.9999941055641751,0.0010258075781166553,-441.59651921377036,26.404847039732843,-21.08560164095084,16.2874563523029,-12.94126421528217
3 (12).wav,-2.5422689946193037e-05,0.0,8082.5605726901895,5353.240130973441,1.7151743076444426,14405.712890625,0.9892381375216677,5.611218512058258e-07,-810.1507256341912,25.45219436455602,-20.164026058323053,15.399079934829604,-12.084168091458192
3 (13).wav,1.2438288108325854e-05,0.0,8006.396393889991,5284.76970232709,2.806629098892558,14254.98046875,0.9999997922106845,0.003237613011151552,-385.12349906343275,26.40551103024402,-21.086249138978516,16.288086139352863,-12.941877203903012
3 (14).wav,-5.819359130481807e-06,0.0,8006.659922095752,5285.041839208659,2.7790124678134354,14254.98046875,0.9999835645796935,0.00016350485384464264,-531.8266290122896,26.403612290486706,-21.08439758013379,16.2862852469101,-12.9401243669145
3 (15).wav,5.365876086828358e-06,0.0,8006.3917265630425,5284.764631388076,2.8072961038869804,14254.98046875,0.9999999369979828,0.042849304154515266,-258.2155092346402,26.405527867520522,-21.0862655581373,16.288102109501086,-12.941892748173794
3 (16).wav,7.900744839734221e-06,0.0,8006.3886675469475,5284.761241720803,2.807777446408912,14254.98046875,0.9999999943344624,0.12494093412533402,-205.63381105489898,26.405534490396256,-21.086272016549362,16.288108391297975,-12.941898862454734
3 (17).wav,1.9127952352821622e-05,0.0,8006.470048978506,5284.846976266206,2.797989641199295,14254.98046875,0.9999959586979197,0.00016624713316559792,-531.0102070915265,26.405061611267165,-21.085810882075137,16.287659869210138,-12.941462302925512
3 (18).wav,-1.3068062303953969e-05,0.0,8099.035188301448,5367.134150141397,1.6439853816320107,14427.24609375,0.986362982527214,7.869675755500793e-07,-793.437933537369,25.254720177621365,-19.974819208840294,15.218656219159667,-11.911961925898034
3 (19).wav,3.480895854555781e-05,0.0,8006.758373926574,5285.141917607083,2.770001494793943,14254.98046875,0.9999765797809805,2.8685200959444046e-05,-617.3434042660444,26.402796305952222,-21.083601889759667,16.28551134962384,-12.939371139304468
3 (2).wav,9.117933788239516e-06,0.0,8006.392966638561,5284.765987214298,2.8071131822058115,14254.98046875,0.9999999033656195,0.11156595218926668,-211.19710314560515,26.405523962168026,-21.086261749765452,16.28809840527537,-12.941889142728577
3 (20).wav,-8.660892802639647e-06,0.0,8006.387715771165,5284.760165097743,2.807941840130465,14254.98046875,0.9999999997114609,0.00015579257160425186,-534.2017821414191,26.405535084974346,-21.08627259636252,16.288108955255293,-12.941899411373125
3 (21).wav,-8.519346065932837e-06,0.0,8006.388941357692,5284.761548859192,2.8077318755034955,14254.98046875,0.9999999913216755,0.08007442252710462,-227.49313264281295,26.40553414658118,-21.08627168127211,16.28810806518937,-12.941898545042415
3 (22).wav,-1.3455689923656192e-05,0.0,8006.552642358229,5284.932143675276,2.789401146649024,14254.98046875,0.999990776943543,0.0026223184540867805,-395.4794127138453,26.40445826212364,-21.08522252331874,16.28708760828829,-12.940905310322172
3 (23).wav,-8.646247288205455e-08,0.0,8006.396922117327,5284.770271743672,2.80655662355671,14254.98046875,0.9999997732735386,0.026701644528657198,-281.45450776342363,26.405508825027347,-21.08624698852401,16.28808404770667,-12.941875168035295
3 (24).wav,1.9080522625315438e-05,0.0,8006.444670068118,5284.820592860686,2.8007936245943474,14254.98046875,0.9999974073288772,0.0064786639995872974,-351.0396036258161,26.405232681045113,-21.085977702658653,16.28782212666259,-12.9416202323616
3 (25).wav,1.5615605127792156e-05,0.0,8006.387715771167,5284.760165097744,2.807941840130467,14254.98046875,0.9999999997114609,1.5655532479286194e-06,-760.2359773414944,26.40553508497434,-21.086272596362512,16.28810895525529,-12.941899411373093
3 (26).wav,-1.956756596685851e-05,0.0,8017.506358360084,5295.500170540112,2.329378493900014,14276.513671875,0.9988765999343374,2.1525658667087555e-05,-631.3822934495121,26.279506130113855,-20.963503459714957,16.168838207798466,-12.82594405491293
3 (27).wav,1.2015661621960075e-05,0.0,8007.3254970974285,5285.712125978996,2.7241594299042586,14254.98046875,0.9999326632438835,9.976793080568314e-06,-669.2327303276259,26.397676766887166,-21.07860992635141,16.280656380445798,-12.934646097391909
3 (28).wav,-8.095424110999053e-06,0.0,8010.381378853483,5288.710010163629,2.554001306421869,14254.98046875,0.9996516208247683,1.9283033907413483e-06,-749.9734077354652,26.365342354600863,-21.047091187174196,16.25001336494205,-12.90483342671088
3 (29).wav,-8.71635696087123e-06,0.0,8006.387715771167,5284.760165097744,2.807941840130467,14254.98046875,0.9999999997114609,0.15787817537784576,-194.13712063093246,26.40553508497434,-21.086272596362512,16.288108955255282,-12.941899411373107
3 (3).wav,7.421866910456312e-06,0.0,8006.387715771169,5284.760165097744,2.8079418401304657,14254.98046875,0.9999999997114609,0.0027584293857216835,-392.99367520785967,26.405535084974332,-21.086272596362512,16.28810895525529,-12.941899411373107
3 (30).wav,-1.0950733538274537e-05,0.0,8006.387715771167,5284.760165097743,2.8079418401304674,14254.98046875,0.9999999997114609,1.0662712156772614e-05,-665.9701760114251,26.40553508497434,-21.086272596362527,16.288108955255293,-12.94189941137309
3 (31).wav,-7.703223486026572e-06,0.0,8006.388962535859,5284.76157257473,2.80772837766228,14254.98046875,0.9999999917930475,0.08484114008024335,-224.65195713219032,26.40553411729323,-21.086271652711467,16.288108037409756,-12.94189851800359
3 (32).wav,-1.2070717232475242e-05,0.0,8006.630569351288,5285.011902627683,2.7817880999797517,14254.98046875,0.9999855590665072,0.0004186970181763172,-485.6250618637372,26.403848936835026,-21.084628342945553,16.28650969159296,-12.94034281912031
3 (33).wav,-1.5637354159039446e-05,0.0,8006.403944619317,5284.777789202096,2.8056286568223254,14254.98046875,0.9999994916030923,0.011899557430297136,-321.16642058537184,26.405475994496815,-21.086214973283955,16.28805290799501,-12.941844858744311
3 (34).wav,1.1647804117503698e-05,0.0,8006.816427506106,5285.200728766741,2.7648747450687705,14254.98046875,0.9999723434202415,2.429122105240822e-05,-625.5125875598794,26.402301645765974,-21.083119537459044,16.285042214181022,-12.938914539296203
3 (35).wav,-1.2611559901983706e-05,0.0,8006.408395682206,5284.782518362484,2.8050647066486616,14254.98046875,0.999999299527242,0.0038378881290555,-376.7663262923299,26.405452807336935,-21.08619236194844,16.288030915028628,-12.941823452288094
3 (36).wav,8.555271594066273e-06,0.0,8006.391887005782,5284.764807256225,2.8072721367614863,14254.98046875,0.9999999349521855,0.041495660319924355,-259.7927636035445,26.405527392232305,-21.08626509465178,16.28810165869032,-12.941892309384766
3 (37).wav,-1.6239918012277342e-05,0.0,8006.390476490662,5284.763255640241,2.8074865072753212,14254.98046875,0.9999999672502005,0.08278264198452234,-225.8588128655299,26.40553120430878,-21.086268812064112,16.288105274444195,-12.94189582871763
